categoryName,CategoryDescription,itemName,itemDescription
Electronics,Devices and gadgets for everyday use,Smartphone,"A device to make calls, browse the internet, and more"
Furniture,Indoor and outdoor furniture items,Sofa,Comfortable seating for your living room
Books,A wide range of literary works,Mystery Novel,A book with suspense and thrilling twists
Clothing,"Apparel for men, women, and children",Cotton T-shirt,Casual wear suitable for all genders
Toys,Playthings for kids and adults,Action Figure,A toy for entertainment and play
Groceries,Everyday household food items,Organic Apples,Fresh and healthy fruit option
Footwear,"Shoes, sandals, and boots for all occasions",Running Shoes,Footwear designed for athletes and casual runners
Jewelry,"Gems, rings, and precious metals",Gold Necklace,Elegant jewelry piece for special occasions
Gardening,Tools and plants for garden enthusiasts,Garden Shovel,Essential tool for planting and digging
Fitness,Equipment and accessories for exercise,Yoga Mat,A mat designed for yoga enthusiasts
