categoryName,CategoryDescription,itemName,itemDescription
Electronics,Devices with electronic components,Smartphone,A modern mobile phone with smart features
Books,Printed and digital reading materials,Adventure Novel,A book featuring an exciting wilderness journey
Clothing,Apparel and garments for wear,T-shirt,A comfortable cotton t-shirt for casual wear
Groceries,Household food and drink items,Organic Milk,A 1-liter bottle of whole organic milk
Toys,Entertainment and play accessories,Building Blocks,Colorful blocks for constructing various shapes
Furniture,Home and office furniture,Office Desk,A wooden desk suitable for home offices
Beauty Products,Cosmetic and skincare products,Lipstick,A vibrant red lipstick for evening wear
Sports Equipment,Equipment for sports activities,Tennis Racket,Racket with lightweight frame for easy handling
Automotive,Automotive parts and accessories,Car Battery,Durable battery for long-lasting car use
Garden,Plants and outdoor decor,Garden Shovel,Tool for digging and planting in the garden
