categoryName,CategoryDescription,itemName,itemDescription
Electronics,Devices and gadgets for daily use,Smartphone,Latest model with advanced features
Clothing,Attire and accessories for various occasions,Jeans,Comfortable denim jeans for casual wear
Books,Printed and digital reading materials,Mystery Novel,A thrilling story with unexpected twists
Health,Products for maintaining health and wellness,Vitamins,Essential nutrients for everyday health
Food,Consumables and culinary items,Organic Coffee,Fair-trade coffee with rich flavor
Furniture,Household and office furnishings,Office Chair,Ergonomic design for comfort at work
Toys,Children's entertainment items,Puzzle Game,Brain-teasing fun for all ages
Sports,Equipment and apparel for physical activities,Running Shoes,Lightweight shoes designed for performance
Gardening,Tools and supplies for plants and landscaping,Garden Shovel,Durable tool for yard work
Travel,Goods and services for exploring new places,Travel Backpack,Spacious and durable for all adventures
